ID,Num. Funko,Nombre,Linea,Colección/ Serie,Nombre C/S,Exclusivo,Motivo,Precio ,Stock bruto,Stock neto,Imagen
NR441,441,Noob Noob,Rick and Morty,Colección,Rick and Morty,0,null,40,5,5,https://photos.app.goo.gl/27BonxmyGLB2SuM16
BP453,453,Bulbasaur,Pokémon,Colección,Pokémon,0,null,55,3,3,https://photos.app.goo.gl/sAgVFQmw9vX63ZT78
CP455,455,Charmander,Pokémon,Colección,Pokémon,0,null,55,2,2,https://photos.app.goo.gl/3GE8KqJ4DdmKBC918
SP504,504,Squirtle,Pokémon,Colección,Pokémon,0,null,55,3,3,https://photos.app.goo.gl/JF6MUhPF58LKYhEK6
EP577,577,Eevee,Pokémon,Colección,Pokémon,0,null,55,4,4,https://photos.app.goo.gl/TBXS9aUG96F3WnScA
PP579,579,Pichu,Pokémon,Colección,Pokémon,0,null,50,8,8,https://photos.app.goo.gl/YA4uQg8gFDmWuome7
VP580,580,Vulpix,Pokémon,Colección,Pokémon,0,null,50,4,4,https://photos.app.goo.gl/iq97rDnkHzL7g29A7
MP581,581,Mewtwo,Pokémon,Colección,Pokémon,0,null,60,3,3,https://photos.app.goo.gl/QcanfFc4yc3o9nGfA
MP582,582,Mr. Mime,Pokémon,Colección,Pokémon,0,null,55,2,2,https://photos.app.goo.gl/QL7tVqyqEGsFHpFP7
BP361,361,Black Ranger,Power Rangers,Colección,Television,0,null,60,1,1,https://photos.app.goo.gl/ECstxgPMQuGC4Uxr8
RP23,23,Red Ranger,Power Rangers,Colección,Television,0,null,115,3,3,https://photos.app.goo.gl/jGkBZLNYZ6JXPf7S8
GP360,360,Green Ranger,Power Rangers,Colección,Television,0,null,150,1,1,https://photos.app.goo.gl/iZ342ShKPXpVse4Z8
BP396,396,Black Ranger,Power Rangers,Colección,Movies,0,null,50,3,3,https://photos.app.goo.gl/AoyHdmPQdPxJpwuj7
PP397,397,Pink Ranger,Power Rangers,Colección,Movies,0,null,45,2,2,https://photos.app.goo.gl/71exSKpoKytGXbZCA
YP398,398,Yellow Ranger,Power Rangers,Colección,Movies,0,null,45,4,4,https://photos.app.goo.gl/32igxqTt446efi938
NN71,71,Naruto,Naruto Shippuden,Colección,Naruto Shippuden,0,null,65,2,2,https://photos.app.goo.gl/TSnpZfrS5ePDe2FM8
SN72,72,Sasuke,Naruto Shippuden,Colección,Naruto Shippuden,0,null,70,3,3,https://photos.app.goo.gl/hdr7b6L3xa8vervx9
KN182,182,Kakashi,Naruto Shippuden,Colección,Naruto Shippuden,0,null,60,4,4,https://photos.app.goo.gl/98XZGXPzAbVEexao8
SN183,183,Sakura,Naruto Shippuden,Colección,Naruto Shippuden,0,null,55,4,4,https://photos.app.goo.gl/VkpUVCAKLgnU3nFZA
NN185G,185,Naruto (Sage Mode),Naruto Shippuden,Colección,Naruto Shippuden,1,GameStop,155,1,1,https://photos.app.goo.gl/7ymYBxTHiVwmA6iHA
